File,Feature,Component,Hardcoded String,Type,Language,Priority,Suggested i18n Key
src/features/auth/LoginPage.tsx,Auth,Login,Sáng tạo đỉnh cao hệ thống bền vững,Hero tagline,VI,P1,auth.hero.tagline
src/features/auth/LoginPage.tsx,Auth,Login,Xây dựng kịch bản. Định hình từng bản dựng.,Hero title,VI,P1,auth.hero.title
src/features/auth/LoginPage.tsx,Auth,Login,Nền tảng studio ổn định cho dự án kho tài nguyên,Hero description,VI,P1,auth.hero.description
src/features/auth/LoginPage.tsx,Auth,Login,Môi trường sản xuất AI Video Studio,Footer,VI,P1,auth.footer.environment
src/features/auth/LoginPage.tsx,Auth,Login,Đăng nhập,Button,VI,P1,auth.login.button
src/features/auth/LoginPage.tsx,Auth,Login,Đăng ký tài khoản,Tab button,VI,P1,auth.register.tab
src/features/auth/LoginPage.tsx,Auth,Login,Đăng nhập vào AI Studio,Form title,VI,P1,auth.login.title
src/features/auth/LoginPage.tsx,Auth,Login,Nhập thông tin tài khoản để truy cập không gian làm việc,Form subtitle,VI,P1,auth.login.subtitle
src/features/auth/LoginPage.tsx,Auth,Login,Tên đăng nhập / Username,Label,VI,P1,auth.login.usernameLabel
src/features/auth/LoginPage.tsx,Auth,Login,Nhập tên đăng nhập,Placeholder,VI,P1,auth.login.usernamePlaceholder
src/features/auth/LoginPage.tsx,Auth,Login,Mật khẩu,Label,VI,P1,auth.login.passwordLabel
src/features/auth/LoginPage.tsx,Auth,Login,••••••••,Placeholder,VI,P1,auth.login.passwordPlaceholder
src/features/auth/LoginPage.tsx,Auth,Login,Đăng ký tài khoản mới,Register title,VI,P1,auth.register.title
src/features/auth/LoginPage.tsx,Auth,Login,Mọi tài khoản tạo mới sẽ mặc định có quyền người dùng,Register subtitle,VI,P1,auth.register.subtitle
src/features/auth/LoginPage.tsx,Auth,Login,🎉 Đã tạo tài khoản người dùng thành công!,Success message,VI,P1,auth.register.successMessage
src/features/auth/LoginPage.tsx,Auth,Login,Chuyển sang Đăng nhập,Switch button,VI,P1,auth.register.switchButton
src/features/auth/LoginPage.tsx,Auth,Login,Họ và tên,Label,VI,P1,auth.register.fullNameLabel
src/features/auth/LoginPage.tsx,Auth,Login,Nguyễn Văn A,Placeholder,VI,P1,auth.register.fullNamePlaceholder
src/features/auth/LoginPage.tsx,Auth,Login,Email,Label,EN,P1,common.fields.email
src/features/auth/LoginPage.tsx,Auth,Login,user@example.com,Placeholder,EN,P1,auth.register.emailPlaceholder
src/features/auth/LoginPage.tsx,Auth,Login,Ít nhất 6 ký tự,Hint,VI,P1,auth.register.passwordHint
src/features/auth/LoginPage.tsx,Auth,Login,Tạo tài khoản User,Button,VI,P1,auth.register.createButton
src/features/auth/LoginPage.tsx,Auth,Login,AI Studio,Brand,EN,P1,common.brand.appName
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,AI Video Studio Dashboard,Title,EN,P1,dashboard.title
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Manage your AI generation workflows,Subtitle,EN,P1,dashboard.subtitle
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Explore Projects,Button,EN,P1,dashboard.buttons.exploreProjects
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,AI Generation Engine,Button,EN,P1,dashboard.buttons.aiGenerationEngine
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Active Projects,KPI label,EN,P1,dashboard.kpi.activeProjects.label
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,6 updated today,KPI subtext,EN,P1,dashboard.kpi.activeProjects.updated
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,AI Render Jobs,KPI label,EN,P1,dashboard.kpi.renderJobs.label
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Active,Status,EN,P1,common.status.active
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,98.4% success rate,Subtext,EN,P1,dashboard.kpi.renderJobs.successRate
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Video Exports,KPI label,EN,P1,dashboard.kpi.videoExports.label
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,4K NVENC,Metric,EN,P1,dashboard.kpi.videoExports.codec
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Total 14.2 GB encoded,Subtext,EN,P1,dashboard.kpi.videoExports.encoded
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,AI Providers,KPI label,EN,P1,dashboard.kpi.aiProviders.label
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Connected,Status,EN,P1,common.status.connected
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Recent Projects,Section,EN,P1,dashboard.sections.recentProjects
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,View all,Link,EN,P1,common.links.viewAll
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Completed,Status,EN,P1,common.status.completed
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Rendering,Status,EN,P1,common.status.rendering
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Draft,Status,EN,P1,common.status.draft
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Aspect Ratio: {ratio} • Updated {time},Format,EN,P1,dashboard.formats.projectInfo
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,+ Create New Project,Button,EN,P1,dashboard.buttons.createNewProject
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,🎬 Launch AI Generation Studio,Button,EN,P1,dashboard.buttons.launchGenerationStudio
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,📦 Video Export Manager,Button,EN,P1,dashboard.buttons.videoExportManager
src/features/project-explorer/components/DashboardPage.tsx,Project-Explorer,Dashboard,Quick Actions,Section,EN,P1,dashboard.sections.quickActions
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Projects Studio,Title,EN,P1,projectList.title
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Manage your AI video production projects,Subtitle,EN,P1,projectList.subtitle
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,+ Create New Project,Button,EN,P1,projectList.buttons.createNew
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Search projects...,Placeholder,EN,P1,projectList.search.placeholder
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,ALL,Filter,EN,P1,projectList.filters.all
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,DRAFT,Filter,EN,P1,projectList.filters.draft
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,RENDERING,Filter,EN,P1,projectList.filters.rendering
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,COMPLETED,Filter,EN,P1,projectList.filters.completed
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Shots: {count},Label,EN,P1,projectList.card.shots
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Updated {date},Label,EN,P1,projectList.card.updated
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Create New Project,Modal title,EN,P1,projectList.modal.title
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Project Name,Label,EN,P1,projectList.modal.projectNameLabel
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,My AI Video Project,Placeholder,EN,P1,projectList.modal.projectNamePlaceholder
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Aspect Ratio,Label,EN,P1,projectList.modal.aspectRatioLabel
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,16:9 Landscape (YouTube TV),Option,EN,P1,projectList.modal.aspectRatio.landscape
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,9:16 Portrait (TikTok Shorts Reels),Option,EN,P1,projectList.modal.aspectRatio.portrait
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,1:1 Square (Instagram),Option,EN,P1,projectList.modal.aspectRatio.square
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,21:9 Ultrawide Cinematic,Option,EN,P1,projectList.modal.aspectRatio.ultrawide
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Cancel,Button,EN,P1,common.buttons.cancel
src/features/project-explorer/components/ProjectListPage.tsx,Project-Explorer,ProjectList,Create Project,Button,EN,P1,projectList.buttons.createProject
src/features/commercial/components/CommercialScreen.tsx,Commercial,Hub,Commercial Hub,Title,EN,P1,commercial.hub.title
